question,a,b,c,d,correct,explanation
What is the importance of explicit escalation criteria,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.,Agentic loop implementation - multi-agent orchestration - subagent context management - tool interface design and error handling.,They guide the agent on when to escalate versus resolve autonomously.,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.,c,They guide the agent on when to escalate versus resolve autonomously.
What is the purpose of the --output-format json flag,They guide the agent on when to escalate versus resolve autonomously.,It enforces structured output in CI contexts.,Enter plan mode to explore the codebase - understand dependencies and design an implementation approach before making changes.,To isolate verbose discovery output and return summaries to preserve main conversation context.,b,It enforces structured output in CI contexts.
What is the significance of using the --print flag in CI/CD,It ensures machine-parseable structured findings for automated posting.,They are scored as incorrect.,They preserve original source characterizations and methodological context.,It runs Claude Code in non-interactive mode to prevent hangs.,d,It runs Claude Code in non-interactive mode to prevent hangs.
What change would most effectively address the issue of agents skipping get_customer,It enforces structured output in CI contexts.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,They help achieve consistently formatted - actionable output.,MCP servers - tools - resources - isError flag - tool descriptions - tool distribution and .mcp.json configuration.,b,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.
What is the most effective first step to improve tool selection reliability for order-related queries,They guide the model toward correction by appending specific validation errors.,They demonstrate reasoning for why one action was chosen over plausible alternatives.,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,Designing coordinator agents that analyze query requirements and dynamically select which subagents to invoke.,c,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.
How can escalation calibration be improved for agents that escalate straightforward cases,A project-level CLAUDE.md with universal coding standards and testing conventions.,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.,To preserve critical information and mitigate the 'lost in the middle' effect.,6+ months of practical experience building with Claude APIs - Agent SDK - Claude Code and MCP.,b,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.
Where should you create a custom review slash command for a code review checklist,High false positive categories undermine confidence in accurate categories.,Practice designing an agentic loop with tool integration - structured error handling and escalation patterns.,In the .claude/commands/ directory in the project repository.,To run automated code reviews - generate test cases and provide feedback on pull requests.,c,In the .claude/commands/ directory in the project repository.
What approach should you take to restructure a monolithic application into microservices,To prepare effectively alongside hands-on experience.,Enter plan mode to explore the codebase - understand dependencies and design an implementation approach before making changes.,Practice configuring CLAUDE.md hierarchies - custom slash commands - path-specific rules and MCP server integration for a multi-developer project.,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,b,Enter plan mode to explore the codebase - understand dependencies and design an implementation approach before making changes.
What is the most maintainable way to ensure Claude applies the correct coding conventions,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,They load only when editing matching files - reducing irrelevant context and token usage.,To apply conventions to files by type regardless of directory location.,a,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.
What is the most likely root cause for the synthesis agent's reports covering only visual arts,Managing token budgets - summarization - context extraction and scratchpad files.,To preserve critical information and mitigate the 'lost in the middle' effect.,Accelerating software development through code generation - refactoring - debugging and documentation.,The coordinator agent's task decomposition is too narrow - resulting in subagent assignments that don't cover all relevant domains of the topic.,d,The coordinator agent's task decomposition is too narrow - resulting in subagent assignments that don't cover all relevant domains of the topic.
What error propagation approach best enables intelligent recovery when the web search subagent times out,Return structured error context to the coordinator including the failure type - the attempted query - any partial results and potential alternative approaches.,Subagents operate with isolated context and do not inherit the coordinator's conversation history automatically.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,a,Return structured error context to the coordinator including the failure type - the attempted query - any partial results and potential alternative approaches.
What is the most effective approach to reduce overhead while maintaining system reliability in the synthesis agent,Transient errors - validation errors - business errors and permission errors.,The coordinator agent's task decomposition is too narrow - resulting in subagent assignments that don't cover all relevant domains of the topic.,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.,It allows continuation of a specific prior conversation.,c,Give the synthesis agent a scoped verify_fact tool for simple lookups - while complex verifications continue delegating to the web search agent through the coordinator.
What is the objective of Exercise 1,To ensure new team members receive the correct instructions.,Built-in tools like Read - Write - Bash - Grep - Glob.,They load only when editing matching files - reducing irrelevant context and token usage.,Practice designing an agentic loop with tool integration - structured error handling and escalation patterns.,d,Practice designing an agentic loop with tool integration - structured error handling and escalation patterns.
What should be defined in Exercise 1,3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose - expected inputs and boundary conditions.,It prompts developers for required parameters when invoking the skill.,Add a programmatic prerequisite that blocks lookup_order and process_refund calls until get_customer has returned a verified customer ID.,It communicates tool failures back to the agent.,a,3-4 MCP tools with detailed descriptions that clearly differentiate each tool's purpose - expected inputs and boundary conditions.
What does the agentic loop check in Exercise 1,It preserves attribution when passing context between agents.,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,Providing targeted examples for ambiguous scenarios to demonstrate format and generalization.,It checks stop_reason to determine whether to continue tool execution or present the final response.,d,It checks stop_reason to determine whether to continue tool execution or present the final response.
What type of error responses should be added to the tools in Exercise 1,They ensure that critical information is communicated during escalations.,Structured error responses including errorCategory - isRetryable boolean and human-readable descriptions.,To prompt developers for required parameters when invoking the skill without arguments.,It degrades tool selection reliability by increasing decision complexity.,b,Structured error responses including errorCategory - isRetryable boolean and human-readable descriptions.
What is the objective of Exercise 2,To provide detailed error context that enables intelligent recovery decisions by the agent.,Practice configuring CLAUDE.md hierarchies - custom slash commands - path-specific rules and MCP server integration for a multi-developer project.,It prevents the loss of source attribution during summarization steps.,It preserves attribution when passing context between agents.,b,Practice configuring CLAUDE.md hierarchies - custom slash commands - path-specific rules and MCP server integration for a multi-developer project.
What should be created at the project level in Exercise 2,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,They guarantee schema-compliant structured output - eliminating syntax errors.,A project-level CLAUDE.md with universal coding standards and testing conventions.,They help achieve consistently formatted - actionable output and demonstrate ambiguous-case handling.,c,A project-level CLAUDE.md with universal coding standards and testing conventions.
What should the .claude/rules/ files contain in Exercise 2,Add explicit escalation criteria to your system prompt with few-shot examples demonstrating when to escalate versus resolve autonomously.,YAML frontmatter glob patterns for different code areas.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,They load only when editing matching files - reducing irrelevant context and token usage.,b,YAML frontmatter glob patterns for different code areas.
What is the objective of Exercise 3,A structure where a coordinator agent manages all inter-subagent communication - error handling and information routing.,Practice designing JSON schemas - using tool_use for structured output - implementing validation-retry loops and designing batch processing strategies.,It oversees session resumption - forking and ensures context is maintained.,To extract information from unstructured documents and validate the output using JSON schemas.,b,Practice designing JSON schemas - using tool_use for structured output - implementing validation-retry loops and designing batch processing strategies.
What should the extraction tool in Exercise 3 include,Field-level confidence assessment and calibration with labeled validation sets.,Direct execution is for simple changes - while plan mode is for complex tasks involving large-scale changes.,A JSON schema containing required and optional fields - an enum with an 'other' + detail string pattern and nullable fields.,They help achieve consistently formatted - actionable output.,c,A JSON schema containing required and optional fields - an enum with an 'other' + detail string pattern and nullable fields.
What is the goal of implementing a validation-retry loop in Exercise 3,Return structured error context to the coordinator including the failure type - the attempted query - any partial results and potential alternative approaches.,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,To handle validation failures by sending follow-up requests including the document and specific validation error.,It enables intelligent coordinator recovery decisions.,c,To handle validation failures by sending follow-up requests including the document and specific validation error.
What is the objective of Exercise 4,6+ months of practical experience building with Claude APIs - Agent SDK - Claude Code and MCP.,Use flags for non-interactive mode - output format and structured CI output.,To provide essential information when escalating to human agents.,Practice orchestrating subagents - managing context passing - implementing error propagation and handling synthesis with provenance tracking.,d,Practice orchestrating subagents - managing context passing - implementing error propagation and handling synthesis with provenance tracking.
What should the coordinator agent do in Exercise 4,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.,To provide detailed error context that enables intelligent recovery decisions by the agent.,c,Delegate to at least two subagents and ensure each subagent receives its research findings directly in its prompt.
What is required for structured output in Exercise 4,It improves precision and reduces false positives.,To apply conventions to files by type regardless of directory location.,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,It prevents the loss of source attribution during summarization steps.,c,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.
What should be tested regarding conflicting source data in Exercise 4,They help achieve consistently formatted - actionable output.,Verify that the synthesis output preserves both values with source attribution rather than arbitrarily selecting one.,Structured error responses including errorCategory - isRetryable boolean and human-readable descriptions.,To separate content from metadata when passing context between agents.,b,Verify that the synthesis output preserves both values with source attribution rather than arbitrarily selecting one.
What is the Claude Agent SDK used for,Protocols for mid-process escalation that include customer details - root cause analysis and recommended actions.,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,It allows continuation of a specific prior conversation.,To preserve critical information and mitigate the 'lost in the middle' effect.,b,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.
What does the Model Context Protocol (MCP) include,It provides examples that help the model generalize judgment to novel patterns.,Sending requests to Claude - inspecting stop_reason - executing requested tools and returning results for the next iteration.,To prompt developers for required parameters when invoking the skill without arguments.,MCP servers - tools - resources - isError flag - tool descriptions - tool distribution and .mcp.json configuration.,d,MCP servers - tools - resources - isError flag - tool descriptions - tool distribution and .mcp.json configuration.
What is the purpose of Claude Code,Model-driven decision-making involves Claude reasoning about which tool to call next based on context.,It runs Claude Code in non-interactive mode to prevent hangs.,To configure agent behavior with a hierarchy - rules - commands - skills and various execution modes.,To ensure new team members receive the correct instructions.,c,To configure agent behavior with a hierarchy - rules - commands - skills and various execution modes.
What does the Claude Code CLI allow you to do,Structured error responses including errorCategory - isRetryable boolean and human-readable descriptions.,To prompt developers for required parameters when invoking the skill without arguments.,High false positive categories undermine confidence in accurate categories.,Use flags for non-interactive mode - output format and structured CI output.,d,Use flags for non-interactive mode - output format and structured CI output.
What is the function of the Message Batches API,Provides cost savings - a processing window - request/response correlation and polling for completion.,To resolve transient failures before propagating errors to the coordinator.,Protocols for mid-process escalation that include customer details - root cause analysis and recommended actions.,It communicates tool failures back to the agent.,a,Provides cost savings - a processing window - request/response correlation and polling for completion.
What is JSON Schema used for,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,Defining required vs optional fields - enum types - nullable fields and strict mode for syntax error elimination.,It provides examples that help the model generalize judgment to novel patterns.,They guarantee schema-compliant structured output - eliminating syntax errors.,b,Defining required vs optional fields - enum types - nullable fields and strict mode for syntax error elimination.
What is Pydantic used for,Schema validation and handling semantic validation errors.,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,A JSON schema containing required and optional fields - an enum with an 'other' + detail string pattern and nullable fields.,Designing coordinator agents that analyze query requirements and dynamically select which subagents to invoke.,a,Schema validation and handling semantic validation errors.
What built-in tools are available,Agent definitions - agentic loops - stop_reason handling - hooks - subagent spawning and allowedTools configuration.,They preserve original source characterizations and methodological context during synthesis.,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,To provide detailed error context that enables intelligent recovery decisions by the agent.,c,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.
What is few-shot prompting,It offers cost savings and is suitable for non-blocking - latency-tolerant workloads.,Decomposing tasks into focused sequential passes.,Providing targeted examples for ambiguous scenarios to demonstrate format and generalization.,Verify that the synthesis output preserves both values with source attribution rather than arbitrarily selecting one.,c,Providing targeted examples for ambiguous scenarios to demonstrate format and generalization.
What does prompt chaining involve,Create rule files in .claude/rules/ with YAML frontmatter specifying glob patterns to conditionally apply conventions based on file paths.,They include customer details - root cause analysis and recommended actions for mid-process escalation.,Decomposing tasks into focused sequential passes.,Subagents operate with isolated context and do not inherit the coordinator's conversation history automatically.,c,Decomposing tasks into focused sequential passes.
What is context window management,To maintain structured claim-source mappings and handle conflicting statistics appropriately.,They guide the model toward correction by appending specific validation errors.,Both conceptual knowledge and practical judgment about architecture - configuration and trade-offs.,Managing token budgets - summarization - context extraction and scratchpad files.,d,Managing token budgets - summarization - context extraction and scratchpad files.
What is session management,It communicates tool failures back to the agent.,Built-in tools like Read - Write - Bash - Grep - Glob.,Handling session resumption - named sessions and context isolation.,To provide detailed error context that enables intelligent recovery decisions by the agent.,c,Handling session resumption - named sessions and context isolation.
What is confidence scoring,Expand each tool's description to include input formats it handles - example queries - edge cases and boundaries explaining when to use it versus similar tools.,Use flags for non-interactive mode - output format and structured CI output.,They are scored as incorrect.,Field-level confidence assessment and calibration with labeled validation sets.,d,Field-level confidence assessment and calibration with labeled validation sets.
What are the key topics tested on the exam,Agentic loop implementation - multi-agent orchestration - subagent context management - tool interface design and error handling.,It provides cost savings and is suitable for non-blocking - latency-tolerant workloads.,They help achieve consistently formatted - actionable output.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,a,Agentic loop implementation - multi-agent orchestration - subagent context management - tool interface design and error handling.
What topics are out-of-scope for the exam,They guarantee schema-compliant structured output - eliminating syntax errors.,Fine-tuning models - API authentication - specific programming languages and cloud provider configurations.,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,A project-level CLAUDE.md with universal coding standards and testing conventions.,b,Fine-tuning models - API authentication - specific programming languages and cloud provider configurations.
What are the recommendations for exam preparation,Build an agent - configure Claude Code - design MCP tools - extract structured data - practice prompt engineering - study context management and review escalation patterns.,Each finding should include a claim - evidence excerpt - source URL/document name and publication date.,To run Claude Code in non-interactive mode - preventing interactive input hangs.,Read - Write - Edit - Bash - Grep - Glob - each with specific purposes and selection criteria.,a,Build an agent - configure Claude Code - design MCP tools - extract structured data - practice prompt engineering - study context management and review escalation patterns.
