question,a,b,c,d,correct,explanation
How should prior review findings be handled in CI re-runs,Include them in context and instruct Claude to report only new or still-unaddressed issues to avoid duplicate comments.,Giving agents only the tools needed for their role - with limited cross-role tools for specific high-frequency needs.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,a,Include them in context and instruct Claude to report only new or still-unaddressed issues to avoid duplicate comments.
What should be documented in CLAUDE.md for CI test generation,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,Files with YAML frontmatter paths fields containing glob patterns activate rules only when editing matching files.,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.,a,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.
Why are explicit criteria better than vague instructions,General instructions like 'be conservative' fail to improve precision; specific categorical criteria (what to flag vs skip) are more effective.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,Generic 'Operation failed' messages prevent the agent from making appropriate recovery decisions.,a,General instructions like 'be conservative' fail to improve precision; specific categorical criteria (what to flag vs skip) are more effective.
What is the impact of false positive rates on developer trust,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.,High false positive rates in some categories undermine confidence in accurate categories - reducing overall trust.,The model may return text instead of calling a tool (default behavior).,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.,b,High false positive rates in some categories undermine confidence in accurate categories - reducing overall trust.
What are few-shot examples most effective for,Using field-level confidence scores calibrated against labeled validation sets.,When prior tool results are stale - starting fresh with injected summaries is more reliable than resuming with outdated information.,It can lead to incomplete coverage of broad research topics - missing important aspects that weren't explicitly assigned to any subagent.,Achieving consistently formatted - actionable output when detailed instructions alone produce inconsistent results.,d,Achieving consistently formatted - actionable output when detailed instructions alone produce inconsistent results.
How do few-shot examples help with ambiguous cases,errorCategory (transient/validation/permission) - isRetryable boolean and human-readable descriptions.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,They demonstrate handling of ambiguous scenarios (e.g. tool selection - edge cases) and enable generalization to novel patterns.,d,They demonstrate handling of ambiguous scenarios (e.g. tool selection - edge cases) and enable generalization to novel patterns.
How many few-shot examples are typically needed,No. Instructions in ~/.claude/CLAUDE.md are not shared via version control and apply only to that user.,2-4 targeted examples for ambiguous scenarios showing reasoning for why one action was chosen over alternatives.,Adding enum values like 'other' with an accompanying detail field for extensible categorization when predefined categories don't fit.,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.,b,2-4 targeted examples for ambiguous scenarios showing reasoning for why one action was chosen over alternatives.
What is the most reliable approach for guaranteed schema-compliant structured output,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.,Tool use (tool_use) with JSON schemas - which eliminates JSON syntax errors.,Content search - searching file contents for patterns like function names - error messages or import statements.,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,b,Tool use (tool_use) with JSON schemas - which eliminates JSON syntax errors.
Do strict JSON schemas prevent semantic errors,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,c,No. They eliminate syntax errors but don't prevent semantic issues like line items not summing to total or values in wrong fields.
When should schema fields be optional (nullable),Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,Appending specific validation errors to the prompt on retry to guide the model toward correction.,Provide all issues together when they interact; fix them sequentially when they are independent problems.,b,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.
What is the 'other' + detail string pattern,Exposing content catalogs (issue summaries - documentation hierarchies - database schemas) to reduce exploratory tool calls.,Testing standards - valuable test criteria and available fixtures to improve quality and reduce low-value test output.,Adding enum values like 'other' with an accompanying detail field for extensible categorization when predefined categories don't fit.,Programmatic enforcement (hooks - prerequisite gates) provides deterministic compliance. Prompt-based guidance has a non-zero failure rate and is probabilistic.,c,Adding enum values like 'other' with an accompanying detail field for extensible categorization when predefined categories don't fit.
What is retry-with-error-feedback,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,The model wants to call a tool. The loop should continue by executing the requested tool and returning results.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).,Appending specific validation errors to the prompt on retry to guide the model toward correction.,d,Appending specific validation errors to the prompt on retry to guide the model toward correction.
When are retries ineffective,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,When the required information is simply absent from the source document (vs format or structural errors).,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,b,When the required information is simply absent from the source document (vs format or structural errors).
What is the detected_pattern field used for,Returning empty results as success prevents recovery and risks incomplete outputs; the coordinator needs to know about failures.,Tracking which code constructs trigger findings to enable systematic analysis of dismissal patterns for feedback loops.,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.,b,Tracking which code constructs trigger findings to enable systematic analysis of dismissal patterns for feedback loops.
What are the Message Batches API benefits and constraints,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.,Running Claude Code in non-interactive mode in automated pipelines - preventing interactive input hangs.,50% cost savings - up to 24-hour processing window - no guaranteed latency SLA - no multi-turn tool calling within a single request.,Achieving consistently formatted - actionable output when detailed instructions alone produce inconsistent results.,c,50% cost savings - up to 24-hour processing window - no guaranteed latency SLA - no multi-turn tool calling within a single request.
When is batch processing appropriate,Customer requests for a human - policy exceptions/gaps (not just complex cases) and inability to make meaningful progress.,Correlating batch request/response pairs and identifying failed documents for resubmission.,For non-blocking - latency-tolerant workloads (overnight reports - weekly audits - nightly test generation).,Runs skills in an isolated sub-agent context - preventing skill outputs from polluting the main conversation.,c,For non-blocking - latency-tolerant workloads (overnight reports - weekly audits - nightly test generation).
When is batch processing inappropriate,In .claude/commands/ directory (shared via version control).,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,For blocking workflows like pre-merge checks where developers wait for results.,Transient errors (timeouts/service unavailability) - validation errors (invalid input) - business errors (policy violations) and permission errors.,c,For blocking workflows like pre-merge checks where developers wait for results.
What is custom_id used for in batch processing,The model may return text instead of calling a tool (default behavior).,Correlating batch request/response pairs and identifying failed documents for resubmission.,File path pattern matching - finding files by name or extension patterns (e.g. **/*.test.tsx).,Annotate conflicts with source attribution rather than arbitrarily selecting one value.,b,Correlating batch request/response pairs and identifying failed documents for resubmission.
What is multi-pass review architecture,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.,Splitting large reviews into per-file local analysis passes plus cross-file integration passes to avoid attention dilution and contradictory findings.,When Edit fails due to non-unique text matches - use Read to load full file contents followed by Write as a fallback.,Block policy-violating actions (e.g. refunds exceeding $500) and redirect to alternative workflows like human escalation.,b,Splitting large reviews into per-file local analysis passes plus cross-file integration passes to avoid attention dilution and contradictory findings.
How should conflicting findings in code reviews be handled,Use independent review instances without prior reasoning context and split reviews into focused passes.,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,File path pattern matching - finding files by name or extension patterns (e.g. **/*.test.tsx).,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.,a,Use independent review instances without prior reasoning context and split reviews into focused passes.
What is the risk of progressive summarization,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.,Forces the model to call a specific named tool: {'type': 'tool' - 'name': 'tool_name'}.,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,d,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.
What is the 'lost in the middle' effect,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.,d,Models reliably process information at the beginning and end of long inputs but may omit findings from middle sections.
How should transactional facts be preserved in long conversations,A control flow pattern where requests are sent to Claude. The stop_reason is inspected ('tool_use' vs 'end_turn'). Requested tools are executed and results returned for the next iteration until completion.,Extract amounts - dates - order numbers and statuses into a persistent 'case facts' block included in each prompt outside summarized history.,Persisting key findings across context boundaries so agents can reference them for subsequent questions.,Into per-file local analysis passes plus a separate cross-file integration pass to avoid attention dilution.,b,Extract amounts - dates - order numbers and statuses into a persistent 'case facts' block included in each prompt outside summarized history.
How should verbose tool outputs be managed,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).,Trim to only relevant fields before they accumulate in context (e.g. keeping only return-relevant fields from order lookups).,d,Trim to only relevant fields before they accumulate in context (e.g. keeping only return-relevant fields from order lookups).
How can position effects be mitigated,Use prompt chaining for predictable multi-aspect reviews; use dynamic decomposition for open-ended investigation tasks based on intermediate findings.,When deterministic compliance is required - such as identity verification before financial operations where errors have consequences.,Place key findings summaries at the beginning of aggregated inputs and organize detailed results with explicit section headers.,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,c,Place key findings summaries at the beginning of aggregated inputs and organize detailed results with explicit section headers.
What are appropriate escalation triggers,Customer requests for a human - policy exceptions/gaps (not just complex cases) and inability to make meaningful progress.,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,Structured data formats that separate content from metadata (source URLs - document names - page numbers) to preserve attribution.,Use independent review instances without prior reasoning context and split reviews into focused passes.,a,Customer requests for a human - policy exceptions/gaps (not just complex cases) and inability to make meaningful progress.
Should the agent attempt resolution when a customer explicitly demands a human,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.,In user-level ~/.claude.json file.,No. Honor explicit customer requests for human agents immediately without first attempting investigation.,errorCategory (transient/validation/permission) - isRetryable boolean and human-readable descriptions.,c,No. Honor explicit customer requests for human agents immediately without first attempting investigation.
Why are sentiment-based escalation and self-reported confidence unreliable,Condensing numerical values - percentages - dates and customer-stated expectations into vague summaries that lose critical details.,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.,Context must be explicitly provided in the prompt. Include complete findings from prior agents directly in the subagent's prompt.,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,b,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.
How should multiple customer matches be handled,Ask for additional identifiers rather than selecting based on heuristics.,When the required information is simply absent from the source document (vs format or structural errors).,Transient errors (timeouts/service unavailability) - validation errors (invalid input) - business errors (policy violations) and permission errors.,Referencing external files to keep CLAUDE.md modular (e.g. importing specific standards files relevant to each package).,a,Ask for additional identifiers rather than selecting based on heuristics.
What should structured error context include for coordinator recovery,Having Claude ask questions to surface considerations the developer may not have anticipated before implementing.,Provide all issues together when they interact; fix them sequentially when they are independent problems.,Splitting large reviews into per-file local analysis passes plus cross-file integration passes to avoid attention dilution and contradictory findings.,Failure type - attempted query - partial results and potential alternative approaches.,d,Failure type - attempted query - partial results and potential alternative approaches.
Why is silently suppressing errors problematic,When deterministic compliance is required - such as identity verification before financial operations where errors have consequences.,Claude reasons about which tool to call next based on context as opposed to pre-configured decision trees or fixed tool sequences.,Returning empty results as success prevents recovery and risks incomplete outputs; the coordinator needs to know about failures.,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,c,Returning empty results as success prevents recovery and risks incomplete outputs; the coordinator needs to know about failures.
What is context degradation in extended sessions,Models start giving inconsistent answers and referencing 'typical patterns' rather than specific classes discovered earlier.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,Runs skills in an isolated sub-agent context - preventing skill outputs from polluting the main conversation.,a,Models start giving inconsistent answers and referencing 'typical patterns' rather than specific classes discovered earlier.
What are scratchpad files used for,Place key findings summaries at the beginning of aggregated inputs and organize detailed results with explicit section headers.,Use independent review instances without prior reasoning context and split reviews into focused passes.,Persisting key findings across context boundaries so agents can reference them for subsequent questions.,No. Honor explicit customer requests for human agents immediately without first attempting investigation.,c,Persisting key findings across context boundaries so agents can reference them for subsequent questions.
How does subagent delegation help with context management,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Failure type - attempted query - partial results and potential alternative approaches.,It isolates verbose exploration output while the main agent coordinates high-level understanding.,2-4 targeted examples for ambiguous scenarios showing reasoning for why one action was chosen over alternatives.,c,It isolates verbose exploration output while the main agent coordinates high-level understanding.
How should crash recovery be designed,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.,Rename tools and update descriptions to eliminate functional overlap - or split generic tools into purpose-specific tools with defined input/output contracts.,Generic 'Operation failed' messages prevent the agent from making appropriate recovery decisions.,a,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.
What is /compact used for,They are poor proxies for actual case complexity; the agent may be incorrectly confident on hard cases.,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.,Input formats - example queries - edge cases and boundary explanations clarifying when to use it versus similar alternatives.,In project-level .mcp.json file (shared via version control).,b,Reducing context usage during extended exploration sessions when context fills with verbose discovery output.
Why might aggregate accuracy metrics be misleading,The mechanism for spawning subagents. The coordinator's allowedTools must include 'Task' to invoke subagents.,Organizing topic-specific rule files as an alternative to a monolithic CLAUDE.md (e.g. testing.md - api-conventions.md).,97% overall accuracy may mask poor performance on specific document types or fields.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,c,97% overall accuracy may mask poor performance on specific document types or fields.
What is stratified random sampling used for,Tool descriptions. Minimal descriptions lead to unreliable selection among similar tools.,No. Subagents operate with isolated context and do not automatically inherit the coordinator's conversation history.,Annotate conflicts with source attribution rather than arbitrarily selecting one value.,Measuring error rates in high-confidence extractions and detecting novel error patterns.,d,Measuring error rates in high-confidence extractions and detecting novel error patterns.
How should review thresholds be calibrated,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,Prompts developers for required parameters when they invoke the skill without arguments.,Trim to only relevant fields before they accumulate in context (e.g. keeping only return-relevant fields from order lookups).,Using field-level confidence scores calibrated against labeled validation sets.,d,Using field-level confidence scores calibrated against labeled validation sets.
How should conflicting statistics from credible sources be handled,Annotate conflicts with source attribution rather than arbitrarily selecting one value.,When business rules require guaranteed compliance - as hooks provide deterministic guarantees.,97% overall accuracy may mask poor performance on specific document types or fields.,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).,a,Annotate conflicts with source attribution rather than arbitrarily selecting one value.
Why should publication/collection dates be included in structured outputs,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.,d,To enable correct temporal interpretation and prevent temporal differences from being misinterpreted as contradictions.
What is the Claude Agent SDK,Use independent review instances without prior reasoning context and split reviews into focused passes.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Anthropic's SDK for building agentic applications including multi-agent orchestration - subagent delegation - tool integration and lifecycle hooks.,Isolating verbose discovery output and returning summaries to preserve main conversation context during multi-phase tasks.,c,Anthropic's SDK for building agentic applications including multi-agent orchestration - subagent delegation - tool integration and lifecycle hooks.
What is Model Context Protocol (MCP),Writing test suites first - then iterating by sharing test failures to guide progressive improvement.,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.,Include them in context and instruct Claude to report only new or still-unaddressed issues to avoid duplicate comments.,When source documents may not contain the information - to prevent the model from fabricating values to satisfy required fields.,b,A protocol for designing tool and resource interfaces that allow Claude to integrate with backend systems.
What is AgentDefinition,A feature that can reduce costs by caching repeated prompt content.,Forces the model to call a specific named tool: {'type': 'tool' - 'name': 'tool_name'}.,Access failures need retry decisions; valid empty results represent successful queries with no matches and require no retry.,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.,d,Configuration for subagents including descriptions - system prompts and tool restrictions for each subagent type.
What is a coordinator agent,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.,A pattern where a coordinator agent manages all inter-subagent communication - error handling and information routing centrally.,Annotate conflicts with source attribution rather than arbitrarily selecting one value.,Giving access to too many tools (e.g. 18 instead of 4-5) degrades tool selection reliability by increasing decision complexity.,a,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.
What is a subagent,User-level (~/.claude/CLAUDE.md) - project-level (.claude/CLAUDE.md or root CLAUDE.md) and directory-level (subdirectory CLAUDE.md files).,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).,They can apply conventions to files spread across multiple directories (e.g. **/*.test.tsx for all test files).,Provide all issues together when they interact; fix them sequentially when they are independent problems.,b,A specialized agent invoked by a coordinator to perform specific tasks (e.g. web search - document analysis - synthesis).
What are hooks in the Agent SDK,Tool results should be appended to the conversation history so the model can reason about the next action based on new information.,By emitting multiple Task tool calls in a single coordinator response rather than across separate turns.,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.,Using structured agent state exports (manifests) that the coordinator loads on resume and injects into agent prompts.,c,Programmatic interception points (e.g. PostToolUse) that transform data or enforce rules before/after tool execution.
What is prompt caching,2-4 targeted examples for ambiguous scenarios showing reasoning for why one action was chosen over alternatives.,A feature that can reduce costs by caching repeated prompt content.,A hook pattern that intercepts tool results for transformation before the model processes them (e.g. normalizing data formats).,The central agent in a hub-and-spoke architecture that manages task decomposition - delegation and result aggregation.,b,A feature that can reduce costs by caching repeated prompt content.
What is extended thinking,Ambiguous or overlapping tool descriptions (e.g. analyze_content vs analyze_document with near-identical descriptions).,Guarantees the model calls a tool rather than returning conversational text - but the model can choose which tool.,A Claude feature for more thorough reasoning (less effective at catching issues than independent review instances).,A pattern for communicating tool failures back to the agent - allowing structured error responses.,c,A Claude feature for more thorough reasoning (less effective at catching issues than independent review instances).
